Municipios,Nome do Conflito,Familias,Area
Jutai/ Atalaia do Norte/ Benjamin Constant/ Sao Pa,T. |. Vale do Javari,,8527000
Labrea/ Boca do Acre,T. |. Apurina Km 124 BR-317,,42000
Nova Olinda do Norte,Aldeias no PAE Abacaxis/Pilao e Terra Preta/Povo Maragua,,
Parintins,P. A. Gleba Vila Amazénia,,78270
Presidente Figueiredo/ Itacoatiara/ Novo Airao/ Uru,T. |. Waimiri Atroari/Linhao de Tucurui/PAC,,2585910
Tefé,T. |. Porto Praia,,5000
Subtotal:,42,,11598449
Andorinha,Comunidade Surara,180,217
Baiandpolis/ Santana/ Serra Dourada/ Tabocas do,Larga da Porteira Santa Cruz/Luiz Martins/Torrada/Cachoeira/Cercado,,18000
Barra,Fazenda Encosta,,3700
Barra,Comunidade Ribeirao,,600
Barra do Choga,Estancia Temaki/Acamp. Marcio Matos,230,
Bom Jesus da Lapa,Com. Quilombola Bebedouro/Fiol,,5000
Bom Jesus da Lapa,Com. Quil. Araga-Volta/Fiol,152,5000
Bom Jesus da Lapa,Quilombo Lagoa das Piranhas,220,10000
Cachoeira,Com. Quilombola Sao Francisco do Paraguagu,300,7000
Caetité,Com. Curral Velho/Fiol,80,
Caetité,Com. Quilombola Lagoa de Fora,35,
Caetité,Com. Serragem/Fiol,120,
Camacan,Faz. Conjunto Estrela Dalva,20,
Campo Alegre de Lourdes,8 Comunidades de Angico dos Dias,1800,
Candeias,Fazenda Beira Mar/Beira Rio,100,700
Caravelas,Fazenda Bambuzal,200,1300
Carinhanha/ Serra do Ramalho,Vista/Fiol PAE S@o Francisco/Com. Capao Preto/Caldeirao/Boa,200,20820
Casa Chorrocho Nova,Faz. Fazenda Sao Pedra Fancisco/Acamp. de Agua Eldorado dos Carajas,60,
Correntina,Fecho de Pasto de Porcos Guara e Pombas/Com.,53,8031
Correntina,Fecho de Pasto Capao do Modesto,50,8000
Correntina,Fecho de Pasto da Vereda da Felicidade/Com. Silvania/Sao,42,12000
Cotegipe,Fazenda Macambira,60,12000
Eunapolis,Fazenda Primavera,90,
Eunapolis,Fazenda Alianga,150,1000
Feira de Santana,Fazenda Havana,280,
Formosa do Rio Preto,Com. Cacimbinha/Condominio Estrondo,27,
Formosa do Rio Preto,Com. Baixa Funda/Condominio Estrondo,10,
Formosa do Rio Preto,Com. Cachoeira/Condominio Estrondo,12,50000
Formosa do Rio Preto,Com. Brejo do Tatu/Condominio Estrondo,12,
lramaia,Assentamento Boa Sorte,,17387
Itabuna/ Pau Brasil/ Itambé/ Itapetinga/ Itaju do Col,T. |. Caramuru Catarina Paraguassu,,54000
Itaguagu da Bahia/ Xique-Xique,Atingidas/PAC Projeto de Irrigagao Baixio do lrecé/18 Comunidades,,124000
Juazeiro,Comunidade Cachoeirinha,,1400
Lauro de Freitas,Com. Quilombola Quingoma,,1284
Mata de Sao Joao,Com. Quilombolas Tapera e Pau Grande,,600
Medeiros Neto,Fazenda Copacabana,,60000
Mirangaba,Com. Mangabeira/Fundo de Pasto da COMTRAFP,,700
Mirangaba,Com. Umbiguda/Fundo de Pasto da COMTRAFP,,700
Mirangaba,Com. Paranazinho/Fundo de Pasto da COMTRAFP,,700
Mirangaba,Com. Riacho/Fundo de Pasto da COMTRAFP,,500
Nova Vigosa,Fazenda Caravela,190,1377
Nova Vigosa,Fazenda Reunidas Campo do P6é,,3763
Rodelas Ribeirao do Largo,Area Faz. Conjunto Indigena Sao Tuxa/Aldeia Francisco/Faz. Mae do Deputado,220,
Santa Rita de Cassia,Assentamento Arco Verde,60,
Santo Amaro,Faz. Bela Vista/Boa Sorte/Acamp. Marcio Matos,150,
Sento Sento Sé Sé,Area Comunidade da Fruticultura Brejo de Frutimag/Acamp. Dentro Marcio Matos,160 100,
Simées Filho,Com. Quilombola Rio dos Macacos,43,
Taperoa,Com. Quilombola de Graciosa,154,
Teixeira de Freitas,Faz. Céu Azul/Suzano Papel Celulose,250,
Subtotal:,86,11009,
Aquiraz Crateus,T. Area |. Lagoa do DNOCS Encantada/Emp. Ypioca,200 80,
Lavras da Mangabeira,Sitio SAo Domingos/Acamp. Zé Wilson,100,996
Limoeiro do Norte,Com. Tomé/Proj. Irrigado Jaguaribe,625,
Limoeiro do Norte/ Jaguaribe/ Jaguaruana/ Alto Sa,Proj. de Irrig. Jaguaribe-Apodi/PAC/Acamp. Zé Maria do Tomé,150,
Mauriti,Faz. Gravata/Acamp. Vida Nova,30,1000
Pacatuba/ Maracanau,T. |. Pitaguary/Emp. Britaboa,1150,1735
Quixeramobim,Fazenda Serrote/Acamp. Joel do Nascimento,80,3700
Santana do Acarau,Faz. Canafistula/Acamp. 17 de Abril,30,1048
Tamboril,Cacimba dos Mocgos/Faz. Timbd6/Acamp. Comuna Irma,150,900
Subtotal:,10,2595,9379
Brazlandia,Nucleo Rural Alexandre Gusmao/Faz. Jatobazinho/Acamp.,200,430
Sobradinho,Faz. Savia/Salvia,75,306
Subtotal:,2,275,736
Conceigao da Barra,Faz. ltaunas/Agrop. Alianga S/A,200,
Fundao,Acamp. Marielle Franco/Fibria,100,80
Subtotal:,2,300,80
Cavalcante/ Monte Alegre de Goias,Com. Engenho II/Quilombo Kalunga,250,
Cavalcante/ Monte Alegre de Goias,Com. Vao de Almas/Hidrelétrica Santa M6nica/Kalunga,600,250000
Cidade Ocidental,Com. Quilombola de Mesquita,750,
Formosa,Acamp. Antonio Nascimento/Rio Parana,200,1600
Jussara/ Fazenda Nova,Fazenda Coqueiral,48,
Planaltina,Faz. Itauna/Empresa Igarashi/Corrego Lapinha,3,4030
Subtotal:,7,1851,255630
Agailandia,Assent. Novo Oriente/Vale,40,1367
Agailandia,Com. Francisco Romao/Vale,102,
Agailandia,Faz. Conquista/Assent. Joao do Vale/Vale,39,4170
Alcantara,Com. Quil. Mamuna/Mamona/Base Espacial,71,
Alcantara,Com. Quilombola Baracatatiua/Base Espacial,26,
Alcantara,Com. Quilombola Brito/Base Espacial,22,
Alcantara,Com. Quilombola ltapera/Base Espacial,19,
Alcantara,Com. Quilombola Manuninha/Base Espacial,56,
Aldeias Alcantara Altas,"Agroindustria Com. Pov. Gostoso, Quilombola Barro Ponte | e Il, do Pati, Murio/Base Bom Sucesso/TG Espacial",37,997
Alto Alegre do Maranhao,Boa Hora,41,1100
Alto Alegre do Maranhao,Arame,16,333
Alto Alegre do Maranhao,Com. Quilombola Mamorana/Boa Hora 3,32,900
Alto Alegre do Maranhao,Gl. Campo do Bandeira/Cia. Caxuxa Pastoril,45,1450
Alto Alegre do Pindaré,Comunidade Auzilandia/Vale,2000,
Anajatuba,Com. Capotal/Vale,14,
Anajatuba,Retiro Sao Joao da Mata/Vale,80,
Arari,Pov. Bubasa/Vale,110,
Arari,Cedro/Bufalos,,500
Balsas,P. A. Gado Bravinho,,2029
Balsas,Vargem,,400
Belagua,Estiva do Alfredo,13,360
Belagua,Pau Ferrado |,32,1800
Belagua,Pau Ferrado II,12,1800
Benedito Leite,"Forquilha I, Il e IIl/Regiao do Matopiba/II|ha Veneza",105,3200
Bom Jardim/ Mongao,T. |. Rio Pindaré/Aldeia Januaria/Tabocal,,15225
Bom Jardim/ Sao Joao do Caru,T. |. Caru,100,173000
Bom Jesus das Selvas,Assentamento Sao Francisco,70,4000
Bom Jesus das Selvas,Com. Nova Vida/Vale,175,
Buriti,Povoado Carrancas,,400
Buriti,Comunidade Brejao,,600
Buriticupu,Com. Vila Pindaré/Pov. Presa de Porco/Vale,800,
Buritirana/ Buriticupu/ Bom Jesus das Selvas/ Ara,"T. |. Arariboia/92 Aldeias/Etnias Guajajara, Gavido e Guaja",1329,413000
Caxias,Com. Sabia/Faz. Barra da Teresa,,4112
Caxias,Pov. Central dos Medeiros/Grupo Marata,,1300
Cedral,Engole,,475
Chapadinha,Tiuba,,900
Chapadinha,Vila Chapéu/P. A. Mangueira,,3158
Chapadinha,Acampamento Baturité,100,3200
Codo,Comunidade S4o Crist6vao,,400
Codo,Com. Trés Irmaos/Empresa Costa Pinto,,3500
Codo,Cocal/Empresa Costa Pinto/TG Agroindustria Ltda,,1500
Codo,Com. Morada Nova e Maraja/T. Q. Santa Maria dos Moreiras,,
Codo,Com. Quilombola Cipoal dos Pretos,,6000
Codo,Pov. Vergel/Vegel/Faz. Boa Esperanga,,1845
Codo,Comunidade Puraqué,,1250
Codo,Com. Quilombola Mata Virgem,,1200
Codo,Roque/Axixa,,4092
Codo,Faz. Manguinhos/Pov. Buriti Corrente/TG Agroindustria,,5400
Coelho Neto,Fazenda Brejinho,124,7038
Coroata,Data Santana/Com. Sao José do Lagao,,4000
Duque Bacelar,Comunidade Feitoria,,500
Formosa da Serra Negra,Pov. Bem Feito/Faz. Chapada do Bacuri/GI. Sao José/Data,,970
Godofredo Viana/ Candido Mendes,Com. Aurizona/Mineragao Aurizona,,600
Governador Nunes Freire,P. A. Maracagumé Mesbla,,8000
Grajau,Assentamento Remanso,,2500
Guimaraes,Com. Guajerutiua/Guajaretiua,,600
Itapecuru Mirim,T. Outros/Duplicagao Q. Sta. Rosa dos BR-135 Pretos/Barreira Funda/Alto Sao Joao e,,
Itapecuru Mirim,Mata de Sao Benedito |,,1000
Itapecuru Mirim,Sumatma,,2000
Itapecuru Mirim,Mata de Sao Benedito 2,,3100
Itapecuru Mirim,Com. Quilombola Colombo/Duplicagao BR-135,325,
Itinga do Maranhao,Acamp. Marielle Franco,152,9000
Joao Lisboa,Acamp. Mata Verde/P. A. Sao Joao/Pov. Centro do Toim,,
Joao Lisboa/ Amarante do Maranhdao/ Senador La,Faz. Cip6é Cortado/Rolete,140,4000
Junco do Maranhao,P. A. Florestal Maracagumé,80,11470
Junco do Maranhao/ Boa Vista do Gurupi/ Amapa,Com. Vilela/Gleba Campina,100,
Lago do Junco,Pov. Centro dos Aguiar/Faz. Nova Olinda,42,797
Luis Maracagumé/ Domingues Amapa do Maranhao,Gl. Gleba Campina/Faz. Negra Velha Santa Erica,100 50,4000 1000
Matinha,Territorio Sesmaria do Jardim/Quilombo Bom Jesus,58,2000
Matinha,Com. Quilombola Itapera,53,500
Matinha,Com. Quilombola Tanque do Valenga,130,1400
Matinha,Territorio Sesmaria do Jardim/Quilombo Sao Caetano,65,600
Matinha,Com. Quilombola Jacuica,50,322
Matinha,Com. Quilombola Sao José de Bruno,45,230
Matinha,Com. Quilombola Pregui¢ga Velha Contenda,600,1420
Matinha,Territorio Sesmaria do Jardim/Quilombo Pastos,107,
Matédes,Com. Tanque de Rodagem/Sao Joao/Faz. Castiga,50,1300
Montes Altos/ Amarante do Maranhao/ Lajeado No,T. |. Krikati,206,146000
Olinda Nova do Maranhao,Com. Quilombola Caldo Quente,87,561
Parnarama,Povoado Conceigao,,800
Parnarama,Com. Quilombola Cocalinho,152,3375
Parnarama,Pov. Guerreiro/Faz. Cana Brava/Suzano Papel Celulose,,9000
Pedro do Rosario,Santo Anténio,,1800
Pedro do Rosario/ Matinha,Com. Quilombola Imbiral/Cabecga Branca,,2000
Peritoré,Faz. Boa Esperanga/Modelo,,2341
Pindaré Mirim,Acampamento Novo Pindaré,250,1074
Presidente Sarney,Rio Fundo,,280
Primeira Cruz,PE Tronco/Buritizal/Troncho,,1600
Primeira Cruz,Faz. Sao Raimundo/Rosarinho,20,300
Rosario,Com. Quilombola Simatma,22,90
Santa Quitéria do Maranhao,Cabeceira da Tabatinga,,2936
Santa Quitéria do Maranhao,Pau Serrado,280,12000
Santa Rita,Com. Quilombola Cariongo/Duplicagao BR-135,,559
Santa Rita,Outeiro dos Pires/Vale,120,
Sao Benedito do Rio Preto,Sao Domingos,,1000
Sao Benedito do Rio Preto,Faz. Guarima/Data Cumbre,,400
Sao Benedito do Rio Preto,Bacuri,,900
Sao Benedito do Rio Preto,Povoado Bacabal,,140
Sao Benedito do Rio Preto,Comunidade Alegria do Raul,,2341
Sao Benedito do Rio Preto,Assent. Sao Luis/Picos,,1429
Sao Benedito do Rio Preto,Santa Maria/P. A. Anténio Marcos de Jesus,,4587
Sao Sao Benedito Benedito do do Rio Rio Preto Preto/ Belagua,Olho P. A. d'Agua Maria Rodrigues/Lagoa dos Diniz da Lucia,,2953 1181
Sao José de Ribamar,Com. Tremembé do Engenho,,77
Sao Luis,Comunidade Cajueiro,,610
Sao Luis,Tajipuru/Tagipuru dos Copos,,157
SAo Raimundo das Mangabeiras,Data Ipoeira,,14147
