uf,municipio,nome_conflito,familias,area
Maranhão,Arari,Com. Estiva/Búfalos,,
Maranhão,Arari,Com. Ilhota I/Búfalos,,
Maranhão,Arari,Com. Taboa/Búfalos,,
Maranhão,Arari,Com. Igarapé do Arari/Búfalos,,
Maranhão,Arari,Com. Félix/Búfalos,,
Maranhão,Arari,Com. Juncal II/Búfalos,,
Maranhão,Arari,Povoado Mata,,
Maranhão,Arari,Com. Flexal,,
Maranhão,Arari,Com. Boca de Mel,,
Maranhão,Arari,Com. Moitas,,
Maranhão,Bacabeira,Pov. Santa Quitéria e Pequi,700,119
Maranhão,Balsas,P. A. Gado Bravinho,21,2012
Maranhão,Balsas,Baixa Funda,34,400
Maranhão,Barreirinhas,Assentamento Mamede II,60,
Maranhão,Barreirinhas,Andreza,,
Maranhão,Barreirinhas,Rio Grande dos Lopes,,
Maranhão,Barreirinhas,Jurubeba,,
Maranhão,Barreirinhas,Passagem do Gado,,
Maranhão,Barreirinhas/ Primeira Cruz/ Santo Amaro do Maranhão,Com. Tradicionais do Parque Nacional dos Lençóis Maranhenses,1375,
Maranhão,Bom Jardim/ Grajaú/ Carutapera/ Zé Doca/ Turiaçu,Área Indígena Awá - Guajá,90,116582
Maranhão,Bom Jardim/ São João do Caru,T. I. Caru,100,173000
Maranhão,Brejo,Quilombo Alto Bonito,46,3806
Maranhão,Buriti,Povoado Carrancas,12,400
Maranhão,Buriti,Comunidade Brejão,30,600
Maranhão,Buriti,Areias,,
Maranhão,Buriti/ Brejo,Com. Quilombola Saco das Almas/Vila das Almas,1859,23103
Maranhão,Buritirana/ Buriticupu/ Bom Jesus das Selvas/ Arame/ Amarante do Maranhão,"T. I. Arariboia/92 Aldeias/Etnias Guajajara, Gavião e Guajá",1329,413000
Maranhão,Chapadinha,Pov. Sangue/Chapada do Sangue,36,2800
Maranhão,Chapadinha,Com. Quilombola  Barro Vermelho,26,472
Maranhão,Formosa da Serra Negra,Pov. Bem Feito/Faz. Chapada do Bacuri/Gl. São José/Data Alegre,12,970
Maranhão,Grajaú,T. I. Bacurizinho/Aldeias Kamihaw Guajajara/Nazaré/Pedra/Planalto,915,82432
Maranhão,Grajaú/ Barra do Corda/ Fernando Falcão/ Formosa da Serra Negra,T. I. Porquinhos,169,79520
Maranhão,Grajaú/ Barra do Corda/ Jenipapo dos Vieiras,T. I. Cana Brava/Aldeias Coquinho/Coquinho II/Ilha de São Pedro/Silvino/Mussun/Nova Vitoriano,1127,137000
Maranhão,Grajaú/ Itaipava do Grajaú,T. I. Urucu-Juruá,208,13000
Maranhão,Igarapé do Meio,Vila Diamante/P. A. Jutaí/Vale,400,
Maranhão,Itaipava do Grajaú/ Jenipapo dos Vieiras,T. I. Lagoa Comprida/Aldeias Leite/Decente,201,13000
Maranhão,Itapecuru Mirim,T. Q. Sta. Rosa dos Pretos/Barreira Funda/Alto São João e Outros/Duplicação BR-135,800,
Maranhão,Itapecuru Mirim,Com. Quilombola Colombo,45,143
Maranhão,Itapecuru Mirim,Povoado Cheiroso,20,
Maranhão,Itinga do Maranhão,Acamp. Marielle Franco,152,9000
Maranhão,João Lisboa/ Amarante do Maranhão/ Senador La Rocque,Faz. Cipó Cortado/Rolete/Assent. Cipo Cortado,140,4000
Maranhão,,Junco do Maranhão/ Boa Vista do Gurupi/ Amapá do Maranhão Com. Vilela/Gleba Campina,100,
Maranhão,,Luís Domingues Gleba Negra Velha,50,1000
Maranhão,Matinha,Território Sesmaria do Jardim/Quilombo São Caetano,65,600
Maranhão,Matinha,Território Sesmaria do Jardim/Quilombo Bom Jesus,58,2000
Maranhão,Matinha,Comunidade Patos,,
Maranhão,Matinha,Povoado Salva Terra,,
Maranhão,Matões,Com. Tanque de Rodagem/São João/Faz. Castiça,100,9000
Maranhão,Matões do Norte,Com. Quilombola Lago do Coco,30,1497
Maranhão,Milagres,Borrachudo,,
Maranhão,Miranda do Norte,T. Q. Joaquim Maria,14,414
Maranhão,Montes Altos/ Amarante do Maranhão/ Lajeado Novo/ Sítio Novo,T. I. Krikati,254,145000
Maranhão,Nova Olinda do Maranhão/ Zé Doca/ Centro Novo do Maranhão/ Araguanã/ Santa Luzia do Paruá/ Centro do Guilherme/ Maranhãozinho,T. I. Alto Turiaçu,360,
Maranhão,Paço do Lumiar,Parque Guarujá III,100,158
Maranhão,Parnarama,Pov. Guerreiro/Faz. Cana Brava,80,10771
Maranhão,Parnarama,Com. Quilombola Cocalinho,152,3375
Maranhão,Paulino Neves,Comunidade Água Riquinha,,
Maranhão,Pirapemas,Com. Quilombola Salgado/Território Aldeia Velha/11 Comunidades,240,3600
Maranhão,Santa Inês,Acampamento Bananal,,
Maranhão,Santa Inês,Com. Quilombola no Povoado Onça,,
Maranhão,Santa Quitéria do Maranhão,Cabeceira da Tabatinga,35,2936
Maranhão,Santa Quitéria do Maranhão,Vertentes,80,5430
Maranhão,Santa Quitéria do Maranhão,Com. Baixão da Coceira,70,2179
Maranhão,Santa Quitéria do Maranhão,Com. Quilombola Barra da Onça,260,
Maranhão,Santa Rita,Com. Outeiro dos Pires,120,
Maranhão,Santa Rita,Pov. Sítio do Meio,45,
Maranhão,São Benedito do Rio Preto,Santo Antônio,53,1310
Maranhão,São Benedito do Rio Preto,Faz. Guarimã/Data Cumbre,12,400
Maranhão,São José de Ribamar,Com. Tremembé do Engenho,60,77
Maranhão,São Luís,Com. Vila Maranhão,50,
Maranhão,São Luís,Comunidade Cajueiro,500,610
Maranhão,São Luís,Com. Residencial Natureza,20,
Maranhão,São Luís Gonzaga do Maranhão,Quilombo Monte Alegre,200,
Maranhão,São Raimundo das Mangabeiras/ Loreto/ Fernando Falcão/ Mirador/ Sucupira do Norte/ São Félix de Balsas/ Formosa da Serra Negra/ São Domingos do Azeitã,Parque Estadual do Mirador,260,700000
Maranhão,,Serrano do Maranhão Com. Açude/Iteno/Vista Alegre,32,2500
Maranhão,Timbiras,Faz. São Raimundo/Pov. Santa Maria/Jaqueira/Cavalo Morto/São Carlos/São Lourenço/Poço do Boi,200,2700
Maranhão,Urbano Santos,Com. Quilombola de  Santa Maria,80,1000
Maranhão,Urbano Santos,Comunidade São Raimundo,36,1400
Maranhão,Urbano Santos,Com. Santa Rosa/Bacabal,60,1549
Maranhão,Urbano Santos,Capãozinho,,
Maranhão,Urbano Santos/ Belágua,Estiva do Cangati,30,680
Maranhão,Viana,Pov. de Bahias/Santero/Povo Gamella,250,
Maranhão,Zé Doca,Povoado Centro do Totó,,
Maranhão,Subtotal = 133,,15342,2027998
Minas Gerais,,,12,
Minas Gerais,Almenara,Faz. São Francisco/Acamp. Princesa do Vale,300,
Minas Gerais,Belo Horizonte,Com. Quilombola Vila Teixeira Soares/Bairro Santa Tereza,16,
Minas Gerais,Belo Horizonte/ Nova Lima,Com. Quilombola dos Luízes/Construtora Patrimar,30,
Minas Gerais,Brumadinho,Com. Parque da Cachoeira/Romp. da Barragem Mina do Feijão/Vale,15,
Minas Gerais,Campo do Meio,Faz. Ariadnópolis/Assent. Quilombo Campo Grande,450,6000
Minas Gerais,Canápolis,Faz. Germina/Us. Triaálcool/Grupo João Lyra,55,
Minas Gerais,Canápolis,Faz. Piripa Campo Limpo/Us. Triaálcool/Grupo João Lyra,55,
Minas Gerais,Capitão Enéas,Faz. Norte América/Acamp. Recanto das Águias,140,500
Minas Gerais,Felisburgo,Acamp.Terra Prometida/Nova Alegria/Aliança,56,2400
Minas Gerais,Fronteira,Acamp. Beira Rio/Us. Destilaria Rio Grande S/A,138,
Minas Gerais,Grão Mogol,Faz. Rio Rancho/Buriti Pequeno/Com. Geraizeiros do Vale das Cancelas,230,6434
Minas Gerais,Matias Cardoso,Com. Quil. da Lapinha/Faz. Lagoa da Lapinha,170,"5713,79"
Minas Gerais,Minas Novas/ Berilo/ Chapada do Norte/ Coronel Murta/ Jenipapo de Minas/ Virgem da Lapa,Várias Comunidades Quilombolas do Jequitinhonha,60,
Minas Gerais,Montalvânia/ Matias Cardoso/ Miravânia,Faz. 3J Mata do Japoré/Com. Olaria Barra do Mirador,52,1960
Minas Gerais,Muriaé,Com. dos Mendes 10/ MIneradora CBA,6,21
Minas Gerais,Paracatu,Fazenda Paiol,96,
Minas Gerais,Pedras de Maria da Cruz,Fazenda Arapuim,300,
Minas Gerais,Rio Pardo de Minas,Faz. Sta. Bárbara/Acamp. Bela Vista/Replasa,30,
Minas Gerais,Romaria,Área de Valderce e Francisco/GAR Mineração Com. Exp. Imp. S.A.,1,
Minas Gerais,Sabinópolis,Com. Quilombola Córrego Mestre,52,
Minas Gerais,Salto da Divisa,Com. Cabeceira do Piabanha,8,
Minas Gerais,Teixeiras,Com. São Pedro/Mineradora ZMM,,
Minas Gerais,Uberlândia,Fazenda Sobradinho,34,
Minas Gerais,Subtotal = 24,,2306,23029
Mato Grosso do,Antônio João,Nhanderu Marangatu/Fronteira/Morro Alto/Ita BSB/Pequiri Sta. Creuza/Primavera/Pedro/Barra/S oberania,150,9300
Mato Grosso do,Aquidauana,Faz. Esperança/T. I. Taunay Ipegue,78,12000
Mato Grosso do,Aquidauana,Faz. Água Branca/Território Agachi,200,
Mato Grosso do,Caarapó,T. I. Guyraroká,32,11440
Mato Grosso do,Caarapó,T. I. Pindo Roky/Itaguá/Retomada das Mães/Faz. Novilho/Nhandeva/T. I. Dourados Amambai Peguá,150,
Mato Grosso do,Caarapó,Faz. Yvu/Ivu/Tekoha Torapaso/Kunumi Poty Vera/T. I. Dourados Amambai Peguá,40,
Mato Grosso do,Caarapó,Faz. Santa Maria/Tekoha Toropaso/T. I. Dourados Amambai Peguá,24,
Mato Grosso do,Campo Grande,Faz. Matinha/Acamp. Matinho,45,
Mato Grosso do,Corumbá,Com. Porto Esperança,62,
Mato Grosso do,,Dois Irmãos do Buriti Acamp. às Margens da BR-262,300,
Mato Grosso do,Dourados,Aldeias Bororo e Jaguapiru/Reserva Indígena Dourados,3755,3000
Mato Grosso do,Dourados,Com. Apyka'y/Acamp. na BR- 463/Km 10/Próximo à Faz. Serrana,5,
Mato Grosso do,Dourados,Acamp. Nhu Vera/Ñu Vera,45,
Mato Grosso do,Dourados,Retomadas Avae’te e Aratikuty/Imediações das Aldeias Bororo e Jaguapiru,30,
Mato Grosso do,Dourados/ Itaporã/ Douradina,T. I. Panambi/Acamp. Guyra Kambi’y/Gwyrakambiy,20,2037
Mato Grosso do,Inocência,Área na Região do Bolsão/Complexo Faz. Barraca e Sabiá,150,
Mato Grosso do,Japorã,Faz. Remanso Guaçu/T. I. Ivy Katu,250,2600
Mato Grosso do,Japorã/ Iguatemi,Faz. Chaparral/T. I. Ivy Katu,250,
Mato Grosso do,Japorã/ Iguatemi,Faz. São José/T. I. Ivy Katu,30,
Mato Grosso do,Japorã/ Iguatemi,Faz. São Miguel/T. I. Ivy Katu,103,
Mato Grosso do,Japorã/ Iguatemi,Faz. Paloma/T. I. Ivy Katu,105,
Mato Grosso do,Japorã/ Iguatemi,Faz. Mato Sujo/T. I. Ivy Katu,102,
Mato Grosso do,Japorã/ Iguatemi,Faz. Glassuri/T. I. Ivy Katu,115,
Mato Grosso do,Jardim,Fazenda Roça Grande,,1713
Mato Grosso do,Paranhos,T. I. Arroio Korá/Proteiro Corá,101,7176
Mato Grosso do,Rio Brilhante,Faz. Sto.  Antônio da Nova Esperança/Com. Laranjeira Nhanderu,45,450
Mato Grosso do,Subtotal = 26,,6187,49716
Mato Grosso,Água Boa,T.I. Areões/Xavante,336,218515
Mato Grosso,Aripuanã/ Colniza,Resex Guariba-Roosevelt,300,164000
Mato Grosso,Barão de Melgaço,T. I. Baía dos Guató/Guató,50,
Mato Grosso,Barão de Melgaço,Comunidade Retiro de São Bento,100,
Mato Grosso,Barra do Garças,T.I. São Marcos/Xavante,700,
Mato Grosso,Barra do Garças/ General Carneiro,T.I. Merure,164,82301
Mato Grosso,Brasnorte,T.I. Irantxe/Manoki,88,45555
Mato Grosso,Brasnorte,T.I. Manoki,63,206445
Mato Grosso,Brasnorte,T.I. Erikpatsá/Rikbaktsa,169,79934
Mato Grosso,Campo Novo do Parecis,Fazenda Morro Azul,48,
Mato Grosso,Campo Novo do Parecis,P. A. Rio Verde,107,
Mato Grosso,Canarana,T. I. Pimentel Barbosa/Xavante,1000,
Mato Grosso,Canarana/ Gaúcha do Norte,T. I. Pequizal do Naruvôtu,17,"27878,5"
Mato Grosso,Castanheira,Faz. Cristo Rey/Acamp. São Sebastião,150,2625
Mato Grosso,Chapada dos Guimarães,Gleba/Assent. Jangada Roncador,278,15000
Mato Grosso,Colniza,Área da Cooper-Roosevelt/P. A Taquaruçu do Norte,630,
Mato Grosso,Colniza,Faz. Bauru/Magali/Acamp. Gleba União,340,48000
Mato Grosso,Comodoro,Agromehl Agropecuária S/A,110,6500
Mato Grosso,Comodoro/ Colniza,T. I. Kawahiva do Rio Pardo,17,411844
Mato Grosso,Confresa,P.A. Independente I,279,
Mato Grosso,Confresa/ Santa Terezinha,T. I. Urubu Branco/Tapirapé,200,
Mato Grosso,Confresa/ Vila Rica/ Santa Terezinha,Gl. Reunidas II/Faz. Santa Terezinha/Assoc. Novo Horizonte,300,36400
Mato Grosso,Cotriguaçu,P. A. Juruena,468,30072
Mato Grosso,Cotriguaçu,Fazenda Pau D'alho,247,15000
Mato Grosso,Feliz Natal,Faz. em Feliz Natal/Assoc. dos Trab. Rurais Vale do Rio Ferro,200,750
Mato Grosso,Juína,Faz. Tarciana/Assent. Vale do Juinão,133,
Mato Grosso,Juína,Gleba Rio Verde/Fazenda Esmeralda,30,
Mato Grosso,Nortelândia,Faz. Barreirão/P.A. Raimundo Rocha,150,5823
Mato Grosso,Nossa Senhora do Livramento,Sesmaria Boa Vida/Quilombo Mata Cavalo/Mutuca,418,13627
Mato Grosso,Nossa Senhora do Livramento,Com. de Brejal e outras/VM Mineração,54,
Mato Grosso,Nossa Senhora do Livramento,Com. Quilombola Jacaré de Cima/dos Pretos,20,
Mato Grosso,Nossa Senhora do Livramento/ Poconé,Com. Quilombola São Gonçalo II,19,
Mato Grosso,Nova Bandeirantes,Gleba Japuranã/Faz. Japuranã,382,66900
Mato Grosso,Nova Bandeirantes,Faz. Acaraí e Matrinchã/Madeireira Juara/Gl. Japuranã,43,1200
Mato Grosso,Nova Xavantina/ Campinápolis,T. I. Parabubure/Xavante,955,224447
Mato Grosso,Novo Mundo,Faz. Araúna/Acamp. Boa Esperança/Gl. Nhandu,162,
Mato Grosso,Novo Mundo,Gl. Nhandú/Faz. Recanto/5 Estrelas/PDS Nova Conquista II,141,
Mato Grosso,Paranaíta,Assentamento São Pedro II,32,
Mato Grosso,Paranaíta,Fazenda Vitória,129,8000
Mato Grosso,Paranatinga,Fazenda Itália/Capital,260,2100
Mato Grosso,Peixoto de Azevedo,Fazenda Serra Dourada II,150,4100
Mato Grosso,Peixoto de Azevedo/ Nova Guarita,Gleba do Gama/Lt.12/P. A. Renascer,39,16000
Mato Grosso,Planalto da Serra/ Paranatinga,T.I. Bakairi/Aldeia Pakuera/Paxola,184,61405
Mato Grosso,Pontes e Lacerda/ Comodoro,T.I. Sararé/Pirineus de Souza,47,
Mato Grosso,Poxoréu,T.I. Jarudore/Bóe-Bororo/Aldeia Nova,25,4706
Mato Grosso,Primavera do Leste,Área pública em Primavera do Leste,120,
Mato Grosso,Querência/ Canarana/ São Félix do Araguaia/ Nova Ubiratã/ Feliz Natal/ Marcelândia/ Paranatinga/ Gaúcha do Norte,Parque Indígena do Xingu,,
Mato Grosso,Santo Afonso,Fazenda Lagoa Bonita,,
Mato Grosso,Santo Antônio do Leste,T.I. Ubawawe/Xavante,100,52234
Mato Grosso,Santo Antônio do Leverger,T.I. Tereza Cristina,127,25694
Mato Grosso,São Félix do Araguaia/ Alto Boa Vista/ Bom Jesus do Araguaia,T. I. Marãiwatsedé/Xavante/Faz. Suiá-Missu,225,165000
Mato Grosso,Tabaporã/ Apiacás/ Juara/ Nova Canaã do Norte,T. I. Batelão/Apiacá- Kayabi/Ald. Kururuzinho//Muruvi/Dinossaur o,38,117000
Mato Grosso,Tangará da Serra,T.I Pareci/Faz.Valter Dantas,230,
Mato Grosso,Tangará da Serra,Assent. Antônio Conselheiro/Faz. Tapirapuã,877,37000
Mato Grosso,Vila Bela da Santíssima Trindade/ Nova Lacerda/ Conquista D Oeste,T.I. Paukalirajausu,29,8400
Mato Grosso,Subtotal = 55,,15355,4847161
Pará,Acará/ Tomé-Açu,Com. Quil. Alto Acará/Biovale,650,4300
Pará,Altamira,T.I. Baú/Kayapó,47,1540930
Pará,Altamira/ Novo Progresso,Gleba Gorotire/Big Vale,270,22000
Pará,Altamira/ Senador José Porfírio,T.I. Araweté/Aldeia Iagarapé,117,
Pará,Altamira/ Senador José Porfírio,T.I. Ituna/Itatá,,142000
Pará,Anajás,Agroindustrial e Comercial Palmira/Ribeirinhos do rio Mocoões,3,
Pará,Anapu,Gleba Bacajá/PDS Esperança/Assassinato da Ir. Dorothy,178,
Pará,Anapu,Gl. Belo Monte/PDS Virola Jatobá/Dorothy,160,39385
Pará,Anapu,G. Bacajá/PDS Esperança/L. 59- 60-61-62/ Júlio César,20,3000
Pará,Anapu,G. Belo Monte/PDS Virola Jatobá/L. 108/ Milton Lemos,30,3000
Pará,Anapu,Gl. Manduacari/Lote 2,40,3000
Pará,Anapu,Gl. Bacajá/P. A. Pilão Poente II/Lote-69-71-73/Mata Preta,250,3000
Pará,Anapu,Gl. Bacajá/Lt. 68/Mata Preta,50,3000
Pará,Anapu,Gl. Bacajá/Lote 44/Faz. Sta. Maria,41,
Pará,Anapu,Gl. Bacajá/Lotes 96 e 97/Fazs. Bom Jesus e Berrante,80,
Pará,Anapu,Gleba Belo Monte/Lote 126,46,
Pará,Anapu/ Senador José Porfírio/ Vitória do Xingu,T. I. Paquiçamba/Juruna/UHE Belo Monte/PAC,24,
Pará,Anapu/ Senador José Porfírio/ Vitória do Xingu,Com. Ilha da Bela Vista/T.I. Paquiçamba/UHE Belo Monte/PAC,,
Pará,Aveiro/ Juruti,Peaex Mamuru,300,133000
Pará,Benevides,Faz. Bom Sucesso/Acamp. Chico Mendes,90,
Pará,Bom Jesus do Tocantins,Fazenda Gaúcha,350,
Pará,Breu Branco,Faz. Boa Sorte/Faz. Liberdade/Acamp. Perpétuo Socorro,10,
Pará,Cachoeira do Arari,Com. Quil. de Gurupá,200,12852
Pará,Canaã dos Carajás,Faz. Marajaí/Acamp. Luís Inácio Lula da Silva,42,
Pará,Canaã dos Carajás,Acamp. Serra Dourada/Complexo São Luís/P. A. Carajás/Vale/Projeto S11D,300,
Pará,Canaã dos Carajás,Área próxima ao Friogorífico Rio Maria,12,
Pará,Conceição do Araguaia,Fazenda Capivara,8,
Pará,Conceição do Araguaia,Fazenda Safita/Acamp. Vitória da União,50,
Pará,Conceição do Araguaia,Fazenda Pau Brasil,40,"373,5"
Pará,Curionópolis/ Xinguara/ Eldorado dos Carajás/ Piçarra,Faz. Surubim/Acamp. Osmir Venuto da Silva,250,
Pará,Eldorado dos Carajás,Faz. Peruano/Acamp. Lourival Santana,450,12500
Pará,,,196,2000
Pará,Eldorado dos Carajás,Complexo Iraque/Acamp. Jerusalém,60,1252
Pará,Eldorado dos Carajás/ Irituia,Agrop. Sta. Bárbara/Faz. Mª Bonita/Acamp. Dalcídio Jurandir,212,23000
Pará,Igarapé-Açu,Fazenda Dom Bosco,50,
Pará,Itaituba,PAE Mangabal e Montanha/PCH's Tapajós,101,
Pará,Itaituba,Reserva Indígena Praia do Índio,31,28
Pará,Itaituba,Com. Ribeirinha São Luiz do Tapajós,,
Pará,Itaituba,T.I. Sawré Jaybu/médio Tapajós Km 43,12,
Pará,Itaituba/ Trairão,T. I. Sawré Muybu/Munduruku/PCHs Tapajós,170,178000
Pará,Itupiranga,Fazenda Novo Mundo,70,2936
Pará,Jacareacanga,T. I. Munduruku/UHE Tapajós/PAC,1630,
Pará,Jacundá,Fazenda Bela Vista,130,
Pará,Marabá,Comp. da Faz. Três Poderes/Faz. Fortaleza/Acamp. Helenira Rezende,300,11835
Pará,Marabá,Faz. Santa Tereza/Acamp. Santa Ernestina/Acamp. Hugo Chávez,450,1258
Pará,Marabá,Faz. Santa Clara/Acamp. Boa Esperança,20,
Pará,Marabá,Com. Ribeirinha Lago dos Macacos,197,
Pará,Marabá,Fazenda São João,30,2000
Pará,Marabá,Com. Ribeirinha Associação Flor do Brasil,,
Pará,Marabá,P. A. Diamante,40,
Pará,Marabá/ Itupiranga,Faz. Arapari/Acamp. Nova Vitória,82,3000
Pará,Moju,Território Quilombola do Jambuaçu,788,
Pará,Monte Alegre/ Santarém,PAE Lago Grande/Com. Aldeia/Jacarecapá/Passagem e outras,8500,250000
Pará,Nova Ipixuna,Assent. Praia Alta Piranheira/Cupu/Passe Bem/Mamona,332,22000
Pará,Novo Progresso,PDS Terra Nossa,300,
Pará,Novo Progresso,Floresta Nacional do Jamanxim,,
Pará,Novo Progresso,Floresta Nacional do Jamanxim/Acamp. Assoc. Bom Futuro,200,
Pará,Óbidos,T. I. Zo'é,75,"668565,63"
Pará,Oriximiná,Com. Quilombola Boa Vista e Outras/Empresa Mineração Rio do Norte,500,
Pará,Oriximiná,Com. Ribeirinha do Acari/Madeireiras Ebata e Golf,40,
Pará,Oriximiná,PAE Sapucuá- Trombetas/Madeireiras Ebata e Golf,800,67749
Pará,Oriximiná/ Faro/ Terra Santa,Floresta Nacional de Saracá- Taquera,,429600
Pará,Ourilândia do Norte,Fazenda Mil e Duzentos,70,3000
Pará,Paragominas,Fazenda Oriente,250,22800
Pará,Paragominas/ Santa Luzia do Pará/ Garrafão do Norte/ Nova Esperança do Piriá,T.I. Alto Rio Guamá/Tembé,300,279000
Pará,Parauapebas,T. I. Xikrin do Cateté,325,1650939
Pará,Parauapebas,Faz. Carajás/P.A. Palmares I e II/Assent. Carlos Fonseca/CVRD,1250,1750
Pará,Parauapebas,Vila Cedere 01,450,86
Pará,Pau d Arco,Faz. Santa Lúcia/Acamp. Nova Vida/Jane Júlia,200,"5662,8"
Pará,Rio Maria,Assassinato de Carlos Cabral Pereira,,
Pará,Rondon do Pará,Fazenda Três Lagoas,10,1767
Pará,Rurópolis,PAC Araipacupu,361,31112
Pará,Salvaterra,Com. Quilombola Boa Vista,42,
Pará,Salvaterra,Com. Quilombola Mangueiras,,
Pará,Salvaterra,Com. Quilombola Providência,,
Pará,Salvaterra,Com. Quilombola Deus Ajude,,
Pará,Salvaterra,Com. Quilombola Siricari,,
Pará,Santa Cruz do Arari,Com. Ribeirinha das Terras do Taisou,100,5447
Pará,Santa Maria das Barreiras,Faz. Pontal/Acamp. Lagoa Azul,70,
Pará,Santa Maria das Barreiras/ Cumaru do Norte,Gleba 490,80,3000
Pará,Santana do Araguaia,Fazenda Ouro Verde,153,4500
Pará,Santana do Araguaia,Parte da Faz. Vale do Rio Cristalino/Agrop. Sta. Bárbara,100,
Pará,Santana do Araguaia/ Cumaru do Norte,Faz. Estrela de Maceió/Acamp. Cangaia-Brilhante,400,
Pará,Santarém,T. I. Munduruku/Planalto Santareno,150,
Pará,Santarém,Flona Tapajós,1000,"549066,87"
Pará,Santarém,Com. Quilombola Tiningu,90,
Pará,Santarém/ Prainha,Gl. Pacoval/Corta- Corda/Raisan/PDS Sta. Clara/PAE Curuá II,460,24000
Pará,São Félix do Xingu,Complexo Divino Pai Eterno/Acamp. Novo Oeste,147,8400
Pará,São Félix do Xingu/ Altamira,T. I. Apyterena/Apyterewa/Parakanã,176,773000
Pará,São Félix do Xingu/ Altamira,Área de Proteção Ambiental-APA Triunfo do Xingu/Terra do Meio,2000,"1679280,5"
Pará,São Félix do Xingu/ Altamira/ Anapu,E. Eco. Terra do Meio/Serra do Pardo,,
Pará,São Félix do Xingu/ Altamira/ Anapu/ Senador José Porfírio,T. I. Trincheira-Bacajá/Índios Xikrin/UHE Belo Monte/Mineradora Belo Sun/PAC,187,1655000
Pará,São Félix do Xingu/ Tucumã/ Cumaru do Norte/ Ourilândia do Norte,T. I. Kayapó,907,3284005
Pará,,,80,1800
Pará,,,135,3468
Pará,,T.I. Mãe Maria/Índios Gaviões/Ferrovia Carajás/CVRD,300,
Pará,Senador José Porfírio,Gl. Bacajaí/T. I. Arara da Volta Grande do Xingu,37,25500
Pará,Tomé-Açu,T. I. Tembé/Turé-Mariquita I e II,47,1816
Pará,Trairão,P. A. Areia II/Com. São Mateus,300,
Pará,Tucuruí/ Baião,P. A Salvador Allende Piratininga,137,1500
Pará,Uruará,PDS Santa Clara/Com. Bênção de Deus,230,23909
Pará,Uruará/ Altamira/ Rurópolis/ Medicilândia,T. I. Cachoeira Seca do Iriri/Índios Arara/UHE Belo Monte/Belo Sun Mineradora/PAC,75,
Pará,Subtotal = 102,,30043,13625373
Paraíba,Alhandra,Faz. Garapu/Acamp. D. José Maria Pires,300,5000
Paraíba,Alhandra/ Conde/ Pitimbu,Destilaria Tabu-Grupo João Santos/Emp. Elizabethy/T. I. Tabajara,250,10000
Paraíba,Caaporã,Fazenda Ouro Verde,37,350
Paraíba,Cacimbas,Com. Quilombolas Chã e Aracati,30,
Paraíba,Cuité,Com. Serra do Bom Bocadinho,500,
Paraíba,Damião,Comunidade Chã da Tapioca,23,
Paraíba,Guarabira,Sítio Santa Amélia,,
Paraíba,João Pessoa,Fazenda Ponta de Gramame,53,400
Paraíba,João Pessoa,Com. Ribeirinha Porto do Capim/Vila Nassau,162,
Paraíba,Manaíra,Comunidade Quilombola Fonseca,42,
Paraíba,Mogeiro,Fazenda Paraíso,27,700
Paraíba,Nova Palmeira,Com. Quilombola Serra do Abreu,70,
Paraíba,Pedras de Fogo,Mamoaba Agro Pastoril S/A/Acamp. Arcanjo Belarmino,200,
Paraíba,Pilar,Fazenda Paraíso,51,400
Paraíba,Santa Luzia,Com. Serra de Santa Luzia,800,
Paraíba,São João do Tigre,Com. Quilombola Cacimba Nova,80,
Paraíba,São José do Sabugi,Com. Redinha/Parque Eólico Canoas,58,
Paraíba,São José dos Ramos,Faz. São José/Pau-a-Pique,70,1100
Paraíba,Sapé,Sítio Várzea Grande,,
Paraíba,Subtotal = 19,,2753,17950
Pernambuco,Aliança,Eng. São Bento/Dois Rios II/Us. Maravilha,60,
Pernambuco,Cabo de Santo Agostinho,Eng. Serraria/Complexo Suape,9,
Pernambuco,Cabo de Santo Agostinho,Eng. Jasmim/Complexo Suape,330,347
Pernambuco,Cabo de Santo Agostinho,Eng. Ilha/Complexo Suape/Vazamento de Óleo,250,1000
Pernambuco,Cabrobó,Com. Jatobá/Transposição do Rio são Francisco,160,
Pernambuco,Caruaru,Faz. Normandia/Assent. Che Guevara,41,1100
Pernambuco,Caruaru/ Belém de Maria,Fazenda Bananeiras,150,
Pernambuco,Gameleira/ Ribeirão,Assent. Alegre/São Gregório/Us. Estreliana,200,300
Pernambuco,Garanhuns,Quilombo Castainho,450,40
Pernambuco,Goiana,Eng. Belo Horizonte/Us. Maravilha,450,
Pernambuco,Ipojuca,Eng. Tabatinga/Complexo Suape,150,919
Pernambuco,Ipojuca,Com. Vila do Campo/Casa do Governador,40,110
Pernambuco,Jaqueira,Eng. Colônia I/Barro Branco/Us. Frei Caneca,77,2000
Pernambuco,Jaqueira,Eng. Fervedouro/Us. Frei Caneca,71,560
Pernambuco,Jaqueira,Com. do Eng. Colônia II/Laranjeira/Us. Frei Caneca,48,207
Pernambuco,Jaqueira,Engenho Várzea Velha/Us. Frei Caneca/Negócios Imobiliária S/A,70,
Pernambuco,Jaqueira,Eng. Caixa d' Água/Várzea Velha/Us. Frei Caneca,80,
Pernambuco,Jatobá,Com. Bem Querer de Baixo/T.I. Pankararu,75,
Pernambuco,Lagoa Grande,Fazenda Riacho Fundo,250,
